Data,Produto,Categoria,Quantidade Vendida,Estoque Atual,Faturamento
06/07/2026,Feijão Carioca 1kg,Mercearia,210,540,"1.890,00"
06/07/2026,Água Mineral 500ml,Bebidas,480,900,"1.440,00"
07/07/2026,Óleo de Soja 900ml,Mercearia,180,95,"1.440,00"
07/07/2026,Açúcar Refinado 1kg,Mercearia,260,410,"1.300,00"
08/07/2026,Cerveja Lata 350ml,Bebidas,650,140,"3.250,00"
09/07/2026,Papel Higiênico 12un,Limpeza,120,45,"1.800,00"
10/07/2026,Arroz Tio 5kg,Mercearia,320,180,"8.960,00"
10/07/2026,Detergente 500ml,Limpeza,190,320,"570,00"
11/07/2026,Refrigerante 2L,Bebidas,300,220,"2.700,00"
11/07/2026,Café Torrado 500g,Mercearia,140,60,"2.520,00"
